Data,Hora,Vaga,Nome da Empresa,Tipo de Trabalho,URL,Cidade,Estado
20/11/2023,22:07,Administrativo: Pessoa Analista de compras - Vitória/ES,Wine.com.br,Presencial,https://wine.gupy.io/job/eyJqb2JJZCI6NjAwODcxMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Vitória,Espírito Santo
20/11/2023,21:17,Analista de Processos Industriais III,M. Dias Branco ,Presencial,https://mdiasbranco.gupy.io/job/eyJqb2JJZCI6NTk5NDU2MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Jaboatão dos Guararapes,Pernambuco
20/11/2023,20:24,Analista de Laboratório,DB DIAGNÓSTICOS,Presencial,https://dbdiagnosticos.gupy.io/job/eyJqb2JJZCI6NjAwODMxNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Rio de Janeiro,Rio de Janeiro
20/11/2023,20:16,Analista Contábil - Cariacica ,Sipolatti,Presencial,https://sipolatti.gupy.io/job/eyJqb2JJZCI6NjAwODI3Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Cariacica,Espírito Santo
20/11/2023,20:05,Joinville | Analista PCP,Tupy,Presencial,https://tupy.gupy.io/job/eyJqb2JJZCI6NjAwODE2NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Joinville,Santa Catarina
20/11/2023,19:50,Analista de Trade Marketing,Grupo Panvel,Presencial,https://corporativopanvel.gupy.io/job/eyJqb2JJZCI6NjAwNzY5Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Eldorado do Sul,Rio Grande do Sul
20/11/2023,19:44,Analista de Suporte Júnior - Soluções em Varejo e Supermercados,Viasoft,Presencial,https://viasoft.gupy.io/job/eyJqb2JJZCI6NTk5NDc1OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Pato Branco,Paraná
20/11/2023,19:34,Analista de Crédito Comercial - Jandaia do Sul/PR (Sede),Sicredi,Presencial,https://sicredi.gupy.io/job/eyJqb2JJZCI6NjAwODAwMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Jandaia do Sul,Paraná
20/11/2023,19:31,Analista de Recursos Humanos I | QUALITY HOTEL BLUMENAU ,Atlantica Hospitality International,Presencial,https://vagasahi.gupy.io/job/eyJqb2JJZCI6NjAwODAyOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Blumenau,Santa Catarina
20/11/2023,18:54,"Analista de Produtos e Serviços (Seguros), Goiânia -GO",Sicoob UniCentro Br ,Presencial,https://sicoobunicentrobr.gupy.io/job/eyJqb2JJZCI6NjAwNzgwMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Goiânia,Goiás
20/11/2023,18:37,Analista de Suporte de Banco de Dados,ISH Tecnologia,Presencial,https://ishtecnologia.gupy.io/job/eyJqb2JJZCI6NTk4MjA4Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Vitória,Espírito Santo
20/11/2023,18:32,Analista de Cadastro - Goiânia/GO,Grupo Sinagro,Presencial,https://gruposinagro.gupy.io/job/eyJqb2JJZCI6NjAwNzcwMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Goiânia,Goiás
20/11/2023,18:29,Analista Administrativo de Loja,Agrodistribuidor Casal ,Presencial,https://agrodistribuidorcasal.gupy.io/job/eyJqb2JJZCI6NTg0ODAxOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Cuiabá,Mato Grosso
20/11/2023,18:26,Analista de Suporte Junior,Construtora Elevação,Presencial,https://construtora-elevacao.gupy.io/job/eyJqb2JJZCI6NjAwNzY5MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Curitiba,Paraná
