Data,Vaga,Nome da Empresa,Tipo de Trabalho,Tipo de Vaga,URL,Cidade,Estado
24/06/2024,Analista de Integridade Jr - Vaga exclusiva para PCDs - Rio de Janeiro (RJ),Vibra Energia,Híbrido,Efetiva,https://vibraenergia.gupy.io/job/eyJqb2JJZCI6NzMzNTE2Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Rio de Janeiro,Rio de Janeiro
24/06/2024,Analista Administrativo Crédito e Cobrança - (PCD) ,GrupoSC Distribuidora de Medicamentos,Híbrido,Efetiva,https://gruposc.gupy.io/job/eyJqb2JJZCI6NzM1ODc2MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Paulo,São Paulo
24/06/2024,Especialista Data Science,Livelo Tech,Híbrido,Efetiva,https://livelotech.gupy.io/job/eyJqb2JJZCI6NzM1NzIxMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Barueri,São Paulo
24/06/2024,DESENVOLVEDOR JAVA,https://www.linkedin.com/jobs/view/3745551669,Híbrido,Efetiva,https://marketdata.gupy.io/job/eyJqb2JJZCI6NzM1NTQ1NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Paulo,São Paulo
24/06/2024,Pessoa Desenvolvedora Oracle Cloud HCM Júnior,Globo,Híbrido,Efetiva,https://globo.gupy.io/job/eyJqb2JJZCI6NzM1NTg3Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Rio de Janeiro,Rio de Janeiro
24/06/2024,Estagiário para Qualidade de Software ,Sigga Technolgies,Híbrido,Estágio,https://onesigga.gupy.io/job/eyJqb2JJZCI6NzM1Njg4Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Belo Horizonte,Minas Gerais
24/06/2024,DevOps,CSU Digital,Híbrido,Efetiva,https://csu.gupy.io/job/eyJqb2JJZCI6NzI2ODQwNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Barueri,São Paulo
24/06/2024,Analista Comercial,STEMAC,Presencial,Efetiva,https://stemac.gupy.io/job/eyJqb2JJZCI6NzM1NTA5Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Paulo,São Paulo
24/06/2024,Analista de Cultura e Engajamento,Pontifícia Universidade Católica do Rio Grande do Sul - PUCRS,Presencial,Efetiva,https://pucrs.gupy.io/job/eyJqb2JJZCI6NzM1NTYwNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Porto Alegre,Rio Grande do Sul
24/06/2024,Analista de Produto Evolução,Invent Software,Presencial,Efetiva,https://inventsoftware.gupy.io/job/eyJqb2JJZCI6NzM1NTYxNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Goiânia,Goiás
