job_id,published_date,title,description,career_page_name,type,application_deadline,is_remote_work,city,state,country,job_url,disabilities,workplace_type,submitted
7045782,2024-04-18T12:28:21.497Z,Analista de Laboratório Analítico Pleno - Estabilidade,"Quer fazer parte de umas das maiores indústria farmacêutica do Brasil, ser desafiado, aprender e vivenciar uma rotina com times cheios de vontade de fazer acontecer? Com a oportunidade de Analista de Laboratório Analítico Pleno - Estabilidade vamos proporcionar cada vez mais saúde e bem-estar para todo o Brasil! Vem ser Cimed! Responsabilidades e atribuiçõesDar suporte técnico a outros colaboradores no desenvolvimento das atividades de rotina do setor;Identificar necessidades e propor melhorias nas operações básicas dos laboratórios;Desenvolver as atividades do setor conforme políticas, procedimentos e normas internas e de acordo com o Manual da Qualidade e Boas Práticas de Fabricação da CIMED;Usar e descartar racionalmente substâncias químicas e outros resíduos gerados nas atividades de rotina com consciência Ecológica;Preparar soluções a serem utilizadas nas análises;Realizar verificação de adequação ao uso dos utensílios, instrumentos e equipamentos do laboratório analítico;Realizar análises físico-químicas em amostra referente a estudo de estabilidade e preencher documentos pertinentes;Operar e limpar utensílios, instrumentos, e equipamentos utilizados nas atividades analíticas;Preencher log books e documentos pertinentes a utilização, limpeza, calibração, qualificação e manutenção dos utensílios, instrumentos e equipamentos do laboratório analítico;Atuar como multiplicador de atividades e processos de seu conhecimento.Requisitos e qualificaçõesSuperior completo em Química / Farmácia / Engenharia Química e áreas afins (obrigatório)Necessário experiência nas atividades relacionadas ao cargo, desejável vivência anterior na indústria farmacêutica.Experiência em técnicas de preparo de amostras (extração / filtração);Experiência em técnicas analíticas convencionais e instrumentais, como titulação, cromatografia em camada delgada, espectrofotometria (UV-VIS / IR / Absorção Atômica), cromatografia líquida, cromatografia gasosaExperiência em análise de tendência e OOS;Conhecimentos de Informática (Windows / Office);Inglês intermediário;Conhecimento das legislações de boas práticas de fabricação e outras específicas das atividades;Desejável conhecimento do sistema SAP;Comunicação;Comportamento ético;Comprometimento;Atitude positiva;Trabalho em equipe;Foco em resultado;Senso crítico e analítico.Informações adicionaisNo processo pode ser aplicado teste técnico de acordo com a necessidade da área.Horário: 2ºT (15h10 - 00h36)Local: Unidade 1 - Pouso Alegre/MGModelo de trabalho: presencial",Cimed,vacancy_type_effective,,False,Pouso Alegre,Minas Gerais,Brasil,https://cimed.gupy.io/job/eyJqb2JJZCI6NzA0NTc4Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,on-site,True
7046150,2024-04-18T12:28:13.434Z,ANALISTA DE SUPORTE E IMPLANTAÇÃO I,"Você é apaixonado por pessoas e tecnologia?A Betha está em busca de alguém para ser o novo Analista de Suporte e Implantação I!Seu desafio será auxiliar a equipe de suporte na implantação dos sistemas e orientar os usuários no esclarecimento de dúvidas, identificando e resolvendo problemas dos produtos comercializados, bem como prestar atendimento técnico menos relevante através de telefone, web ou in-loco.Essa é uma oportunidade única para você atuar em um papel fundamental na otimização dos nossos processos e impulsionar o crescimento sustentável da empresa.Somos especialistas no desenvolvimento de software para a gestão pública. Estamos no mercado há 38 anos e contamos com mais de um milhão de usuários distribuídos por todo o Brasil.Somos mais de 700 mentes focadas em usar a tecnologia para transformar a realidade das pessoas.Seja um Betther e transforme com a gente a gestão pública do nosso país.Responsabilidades e atribuiçõesAuxiliar a equipe do suporte na assistência técnica aos usuários, visando a implantação de novos produtos, bem como realizar atendimentos de baixa complexidade, sem supervisão técnica;Auxiliar na implantação dos produtos da empresa e efetuar implantação de sistemas de menor complexidade;Prestar atendimento de suporte, inclusive realizando pré-análise dos chamados, dando Feedback constante ao cliente, buscando o menor tempo de resposta possível;Acompanhar as pendências do cliente, proporcionando providências para a solução dos problemas;Analisar e responder as solicitações dos clientes, com base no conhecimento e experiência adquiridas nas fases de treinamento, estudos de caso e observação junto aos demais técnicos;Realizar serviços de menor complexidade via sistemas Desktop e Web da Betha (elaboração e alteração de fórmulas, relatórios, cálculos, arqjoblets)Manter-se atualizado nos produtos e soluções da Betha;Identificar soluções alternativas e definitivas, visando aprimorar o atendimento aos clientes;Prestar suportes externos de menor relevância e complexidade.Requisitos e qualificaçõesEnsino superior em andamento em Tecnologia da Informação ou em áreas relacionadas ao exercício.Noções de informática e nas áreas de negócio dos produtos da Betha e/ou conhecimento básico em SQL ou outras linguagens.Disponibilidade para viagens;Possuir carteira nacional de habilitação na categoria B.Informações adicionaisConheça um pouco sobre o jeito Betha de cuidar dos Betthers:💙 Ambiente Inovador: Aqui você fará parte de um ambiente de trabalho que valoriza a inovação, a criatividade e a excelência;💙 Desenvolvimento Profissional: Terá oportunidades de desenvolvimento profissional e treinamento contínuo para que você possa crescer e se destacar;💙 Valorização: O valor do seu trabalho será reconhecido, com uma remuneração competitiva e um pacote de benefícios arrojado.",Betha Sistemas,vacancy_type_effective,,False,Criciúma,Santa Catarina,Brasil,https://bethasistemas.gupy.io/job/eyJqb2JJZCI6NzA0NjE1MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,on-site,True
7046048,2024-04-18T12:22:29.405Z,Analista de Laboratório - Intermitente,"Analista de Laboratório - INTERMITENTESalário: R$ 14,42 A HORAHorário: Conforme demanda Disponibilidade para trabalhar no bairro ConcórdiaRequisitos: Curso Superior em Biomedicina/Biologia/Farmácia, legalmente habilitado. Bioquímica, Hematologia, Coagulação, Urinálise, Gasometria e Testes Remotos; Controle de Qualidade; Conhecimento nos equipamentos de Laboratório de Análises Clínicas; Informática básica.Desejável (Plus para o candidato, não impede contratação): Pós-graduação em Análises Clínicas.Responsabilidades e atribuições Realiza as funções do Técnico de Patologia na ausência do mesmo;  Realiza os exames laboratoriais;  Acompanha os resultados dos exames e libera-os de acordo com a clínica do paciente;  Preenche a planilha com os dados dos pacientes e os exames solicitados ao laboratório terceiro, imprime para acompanhamento e envia por e mail para o laboratório terceiro;  Realiza a importação dos exames para o ARxApoio;  Orienta médicos, enfermeiros e outros profissionais do hospital;  Comunica resultado crítico ao médico, para as devidas condutas médicas;  Zela pelo trabalho dos Técnicos de Patologia no feitio de exames;  Preenche planilhas diariamente, com o objetivo de rastreabilidade e conferência de informações geradas pelo setor;  Faz a conferência dos resultados dos exames e assina-os liberando-os para a equipe médica;  Tira Relatório de Pendência diariamente;  Acompanha todos os processos de realização dos exames;  Realiza as manutenções preventivas diária/semanal/quinzenal/mensal dos equipamentos do seu setor específico;  Realiza controle interno e externo de qualidade para avaliação do supervisor;  Arquiva os dados brutos (mapas de trabalho, planilhas, relatórios) do seu setor;  Auxilia na realização das solicitações ao setor de suprimentos, recebendo e controlando o material distribuído para setor;  Realiza rastreamento de abertura de reagentes e demais insumos necessários;  Realiza limpeza de bancadas e equipamentos;  Exerce o papel de multiplicador, estimulando e repassando conhecimentos técnicos e científicos a novos colaboradores;  Participa ativamente das atividades do setor, treinamentos, reuniões e orientação quando demandado;  Observa as normas de segurança, controle ambiental e outras internas e/ou a legislação, pertinentes às suas atividades;  Executa outras tarefas similares às acima descritas a critério do gestorRequisitos e qualificaçõesAnalista de Laboratório - INTERMITENTESalário: R$ 14,42 A HORAHorário: Conforme demanda Disponibilidade para trabalhar no bairro ConcórdiaRequisitos: Curso Superior em Biomedicina/Biologia/Farmácia, legalmente habilitado. Bioquímica, Hematologia, Coagulação, Urinálise, Gasometria e Testes Remotos; Controle de Qualidade; Conhecimento nos equipamentos de Laboratório de Análises Clínicas; Informática básica.Desejável (Plus para o candidato, não impede contratação): Pós-graduação em Análises Clínicas..Informações adicionaisNossos Benefícios:Restaurante na empresa.Vale transporteDesconto em faculdades e farmácias.",Fundação Hospitalar São Francisco de Assis,vacancy_type_effective,2024-05-02T00:00:00.000Z,False,Belo Horizonte,Minas Gerais,Brasil,https://fhsfa.gupy.io/job/eyJqb2JJZCI6NzA0NjA0OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,on-site,True
7046041,2024-04-18T12:22:05.764Z,Analista Fiscal Pleno,"Oie, aqui é a b2finance! Para os mais íntimos, apenas b2! 😎Surgi como empresa familiar e hoje caminho com muita agilidade para o mundo da inovação e tecnologia, mas sem perder a minha essência de ser um lugar de gente feliz. Há aproximadamente 30 anos sou especialista em serviços de Outsourcing Contábil, Fiscal, Financeiro e Folha de Pagamento, e há cerca de 2 anos me tornei parceira da SAP.Tenho um time INCRÍVEL que atua na implantação do SAP Business One, ERP voltado para empresas em crescimento.Apesar de ser madura e experiente, ainda sou muito jovem, como você pode perceber. Sei que não existe empresa perfeita, mas dou o meu melhor para construirmos um lugar de relações saudáveis e com GRANDES desafios! Hoje somos mais de 200 pessoas, entre profissionais CLT, parceiros, consultores e associados. Com transparência, confiança, liberdade e responsabilidade, acredito (com sinceridade!) que é possível se reinventar e ao mesmo tempo simplificar, valorizando pessoas e ideias para crescer e aprender de maneira leve, mas também com muita garra e personalidade. Esse é o meu modo b2 de ser! Você acha que dá match?! 🧡""Responsabilidades e atribuições📌Esse ou essa b2maker terá que ter experiência ou conhecimentos em:Acompanhar a legislação diariamente​Atender as solicitações de documentos para atendimento de auditorias e fiscalizações​Orientar e acompanhar os clientes sobre as legislações vigentes​Suporte ao líder e equipe na condução de tarefas diárias, bem como acompanhamento do fechamento e cronogramas;​Suporte ao líder nas conferências de fechamentos e obrigações acessórias;​Atendimento das necessidades do time e dos clientes quando a ausência do líder;​Todas as rotinas relacionadas ao track semanal ​Requisitos e qualificações📌Também é desejável conhecer as ferramentas e sistemas:SAP ECCPorque são os mais utilizados por aqui. 📌Sobre a formação acadêmica, seria legal se você tivesse com:Superior completoInformações adicionais📌Se você me escolher, tenho muita coisa para oferecer:VR ou VA de R$ 632,50/mês;Assistência médica e Odontológica Bradesco com co-participação;Seguro de vida;Ajuda de custo com internet R$ 70,00/mês;Empréstimo consignado créditas (após 3 meses de empresa);Parcerias educacionais: Acesso ilimitado ao CEFISParceria de saúde e bem estar: Gympass, Conexa Saúde e Psicologia VivaDay OffAll dayAlém de atuação em home office, muita liberdade e vontade de fazer mais e melhor.Ah! Sou uma empresa que entende e valoriza a importância da Diversidade. Por isso, tenho horror a qualquer forma de preconceito. Esperamos pessoas de todos os perfis: LGBTQIA+, pretas e pardas, de todos os gêneros, com deficiência e pessoas com 60+. Vamos quebrar tabus, vencer com amor, respeito e oportunidades para quem quiser entrar nessa comigo.Quer saber mais sobre mim? Me segue lá nas redes sociais!Site oficial: https://b2finance.com/Instagram: https://www.instagram.com/weareb2financeLinkedIn: https://www.linkedin.com/company/b2finance-consult-&amp;-outsourcing#Vemserb2maker #Vemprab2 #b2finance #match #Vaga",b2finance,vacancy_type_effective,,True,,,Brasil,https://b2finance.gupy.io/job/eyJqb2JJZCI6NzA0NjA0MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,remote,True
7046142,2024-04-18T12:21:10.373Z,Analista de Riscos e Controles Internos Sênior,"Você gosta da área de Moda, se identifica com o varejo e quer contribuir com o nosso crescimento?Na MARISA acreditamos que a diversidade enriquece o nosso trabalho e tudo aquilo que oferecemos. Aqui acreditamos no respeito, na simplicidade, no acolhimento, na atitude de dono, na integração e em colocar a nossa Mulher no centro. Se você acredita nisso, venha trabalhar conosco.Fique sempre ligado em seus meios de comunicação e no retorno que a Gupy pode te enviar! Eles serão fundamentais para sua jornada no processo seletivo! Responsabilidades e atribuiçõesMapear fluxo de atividades, a fim de atender o cumprimento dos processos operacionais. Evitar a ocorrência de erros ou irregularidades e alcançar objetivos e metas da empresa;Entrevistas, walkthrough e desenho de fluxogramas;Executar de monitoramentos periódicos de processos críticos; testes periódicos em atendimento as diversas regulações pertinentes as atividades de negócio;Acompanhar a implementação dos planos de ação para mitigar os apontamentos identificados por reguladores, auditoria externa e interna;Elaboração de apresentações para gerência, diretoria, comissões internas e externas;Auxiliar na implementação de indicadores, como KPI (Key Performance Indicator) ou KRI (Key Risk Indicator) para monitoramento dos eventos de riscos operacionais;Atender solicitações de auditores internos e externos;Colaborar na criação, revisão e acompanhamento de indicadores para monitoramento contínuo dos resultados da organização;Sugerir, elaborar e auxiliar no desenvolvimento e implementação de planos de ação, visando a melhoria contínua dos processos e controles;Monitorar andamento de planos de ação, realizando follow up com as áreas internas;·Efetuar o follow-up dos planos de ação de auditoria externa e órgãos reguladores; atender as Auditorias Interna e Externa; Requisitos e qualificaçõesPossuir formação superior completo nas áreas de Administração, Economia, Contabilidade, Direito ou áreas relacionadas;Conhecimentos das principais normas emitidas pelo Bacen, CVM e Autorreguladores;Pacote Office intermediário;Desejável conhecimento em SAP;Fundamental conhecimento em fluxograma;Informações adicionaisLocal de Trabalho: Barra Funda - Modelo híbrido (3 vezes por semana escritório e 2 home office) Horário: Comercial - 44 horas semanais.Você encontrará por aqui:﻿Just dress no code;Day off aniversário;Vale transporte;Refeitório no local;Assistência Médica;Assistência Odontológica;Total Pass;Marisa Cuida - Programa de Apoio ao Colaborador;Parcerias com instituições de ensino, escola de idiomas, farmácias e academias;Desconto de 20% nos produtos no site, APP e nas lojas.",Marisa,vacancy_type_effective,,False,São Paulo,São Paulo,Brasil,https://marisa.gupy.io/job/eyJqb2JJZCI6NzA0NjE0Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,False,hybrid,True
7042169,2024-04-18T12:20:06.666Z, Analista Desenvolvimento de Sistemas I,"Inovação e transformação digital caminham juntas. Na Grendene esses temas fazem parte do nosso dia.Nosso time de TI é nosso grande suporte para a realização de inúmeros sonhos. Inúmeros mesmos!!!São centenas de projetos ganhando vida todos os dias através de um time de profissionais incríveis que parecem fazer mágica todos os dias, e isso é competência mesmo.Vem fazer parte!Responsabilidades e atribuiçõesAnalisar e desenvolver soluções técnicas através de requisitos de softwares utilizando-se das tecnologias envolvidas;Orientar e trabalhar com o time de desenvolvimento para encontrar soluções de negócio, arquitetura através da comunicação e trocas de conhecimento;Realizar manutenção e a otimização dos softwares existentes, visando sempre a melhor experiência para as áreas de negócio;Criar modelagem de dados com o objetivo de implementar sistemas bem estruturados e que atendem as regras de negócio;Realizar análises de requisitos funcionais e elaborar documentações técnicas e funcionais. Requisitos e qualificaçõesGraduação completa em cursos relacionados à Tecnologia da Informação;Experiência com: modelagem de dados, ferramentas de controle de versão (GIT/TFS), metodologia ágil (Scrum e Kanban) e Web Servers;Experiência de no mínimo 2 anos na área de desenvolvimento de software;Habilidade de comunicação e colaboração em equipe; Conhecimentos técnicos: HTML/CSS/JS;.NETReactJS;Microserviçoes; Consumo de APIs REST;Controle de versão Git;Designer Patterns SQL Diferencial: Conhecimento Microsoft Azure;Conhecimento de Métodos Ágeis (SCRUM);Informações adicionaisModelo de trabalho: híbrido;Unidade: Farroupilha/RS",Grendene,vacancy_type_effective,2024-04-28T00:00:00.000Z,False,Farroupilha,Rio Grande do Sul,Brasil,https://facapartegrendene.gupy.io/job/eyJqb2JJZCI6NzA0MjE2OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,hybrid,True
7037776,2024-04-18T12:12:24.823Z,ANALISTA DE SINISTROS PL - VIAGEM,"Aqui na AXA você pode ser quem você realmente é. Acreditamos que somos muito melhores juntos e, por isso, buscamos sempre os melhores talentos. Todos os candidatos que atendem aos requisitos serão considerados para a vaga independentemente de raça, cor, religião, gênero, identidade, orientação sexual, nacionalidade ou idade. Esta oportunidade é extensiva a pessoas com deficiências. Quem buscamos?Buscamos alguém que sempre pense em cada projeto, processo ou produto pela perspectiva do cliente, tornando as coisas mais fáceis e simples, mesmo que isso signifique desafiar nosso status quo. Buscamos alguém que tome decisões rápidas, e que pense, decida e aja de maneira simples; alguém que valorize feedbacks e, com eles, aprenda e se desenvolva. Buscamos alguém que seja ético, que cumpra o que foi prometido. Buscamos alguém que trabalhe em equipe, respeitando as diferenças, pois acreditamos que elas são fundamentais para o nosso sucesso, mas que também ouse divergir e compartilhe suas convicções. Responsabilidades e atribuiçõesQuais são os principais desafios?Realizar a cogestão dos sinistros junto aos BPO's, sendo responsável por garantir os prazos, valores e liquidação;Analisar e Elaborar relatórios para comitês e gestão;Suportar as áreas correlatas.Requisitos e qualificaçõesQuais são os pré-requisitos necessários?Ensino Superior Completo;Conhecimento prévio na Regulação de Sinistros de Viagem;Raciocínio lógico e boa capacidade de interpretação que permita compreensão completa dos objetivos do negócio;Possuir fortes habilidades de comunicação verbal e escrita;Excel Intermediário Seria um diferencial se você tiver:Excel AvançadoConhecimento em Power BIInformações adicionaisO que nós oferecemos?• Trabalho híbrido (2x na semana)• Horário flexível• Vale refeição• Vale alimentação• Assistência médica• Assistência odontológica• Seguro de vida• Previdência privada• Auxílio Home Office• Licença maternidade de 6 meses• Licença paternidade de 60 dias• Auxílio creche• Auxílio babá• Auxilio especial para filhos com deficiência• Seguro viagem• Programa de parceria com academias• Mini sexta• Day Off de aniversário• Programa de apoio pessoal e orientação social• Descontos em parceiros• LinkedIn Learning• Participação nos lucros (PLR) Se você se identifica com os nossos valores, vem fazer parte do nosso time! Estamos te esperando!#VemPraAXAAo se candidatar, você autoriza que a AXA SEGUROS S/A, as empresas do mesmo Grupo Econômico, seus fornecedores e/ou parceiros, procedam ao tratamento dos meus dados pessoais para participação em processo seletivo. O tratamento de dados será realizado em conformidade com a Lei Geral de Proteção de Dados Pessoais      nº 13.709/2018 e de acordo com a Política de Privacidade de Dados da AXA, disponível para consultas em https://www.axa.com.br/politica-de-privacidade/.",AXA no Brasil,vacancy_type_effective,,False,São Paulo,São Paulo,Brasil,https://axanobrasil.gupy.io/job/eyJqb2JJZCI6NzAzNzc3Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,False,hybrid,True
7042817,2024-04-18T12:07:41.004Z,Analista de Recursos Humanos (Folha) -  Departamento Pessoal,"Piauí Níquel Metais S/A (PNM), subsidiaria da Brazilian Nickel, foi criada para o desenvolvimento de uma nova planta de extração e processamento de minério laterítico de níquel para a produção de precipitados de níquel e cobalto de alta pureza adequados para as industrias de veículos elétricos, energia sustentável, aeroespacial e outras mais tradicionais.Estamos comprometidos com melhorias contínuas em saúde, segurança e desempenho ambiental em nossos projetos e operações futuras, visando compartilhar os benefícios de nossas atividades com nossos fornecedores, parceiros de negócios, clientes e as comunidades em que operamos. Nosso sucesso depende da nossa capacidade de desenvolver, operar e encerrar nossas operações de forma a proporcionar benefícios sociais, ambientais e econômicos de longo prazo e sustentáveis. Venha fazer parte desse time de sucesso!Responsabilidades e atribuições·        Realizar gestão da frequência dos colaboradores da empresa (tratativa Pontos colaboradores, apontamentos de faltas, atestados médicos, abatimento banco de horas, elaboração dos espelhos de ponto e envio destes para aprovação dos gestores).·        Responsável pelo bom funcionamento dos equipamentos de registro de frequência.·        Controlar Banco de Horas (apontamentos de horas, encerramento trimestral e abertura de novo trimestre).·        Efetuar orientação aos gestores sobre banco de horas e escalas de trabalho e demais demandas da gestão de frequência.·        Realizar a gestão das férias: programação anual juntos aos gestores, provisionamento mensal, cálculo mensal, relatórios, check in de valores contábil e financeiro, envio para o e-social e para financeiro para fins de pagamento.·        Operacionalizar processos rescisórios: assinatura dos avisos, programação de exames demissionais, cálculo de rescisão (Rescisão, GRRF, Movimentação Conectividade Social, Seguro desemprego, check in valores contábil e financeiro, e-social e envio ao financeiro para fins de pagamento).·        Realizar admissão (Lançamento no sistema, geração de contratos e termos e e-social).·        Controlar contratos de experiencia (renovação 45 dias e 90 dias no e-social) e contratos por tempo determinado.·        Fazer a gestão da folha de pagamento mensal (Cálculo, relatórios, Sindicatos, pensões, SEFIP, DCTFWeb, checar valores com Contábil e Financeiro, E-social, envio ao financeiro, envio de Demonstrativos aos colaboradores).·        Confeccionar relatórios diversos conforme solicitação da coordenação.·        Controlar alteração de cargos, salários e centros de custos no Delphi.·        Orientar gestores nas questões relacionadas a Relações Trabalhistas.·        Dar suporte à demandas gerais de RH quando solicitado;·        Análise e transmissão da DIRF;·        Análise e transmissão do e-Social referente ao módulo WSGA (SST). Requisitos e qualificaçõesRequisitos·        Graduação completa em Administração de Empresas, Ciências Contábeis, Economia ou similares·        Experiência em rotinas trabalhistas e de folha de pagamento;·        Vivência com sistemas de folha de pagamento e e-Social;·        Execução de rotinas de departamento pessoal cobrindo todo o ciclo trabalhista;·        Excel avançado;·        Inglês intermediário - Desejável·        Vivência no segmento de mineração - DesejávelInformações adicionaisSalário: compatível com o mercadoBenefícios: alimentação na empresa, transporte, seguro de vida em grupo, assistência médica para o colaborador.",Piauí Níquel Metais,vacancy_type_effective,,False,Belo Horizonte,Minas Gerais,Brasil,https://piauiniquel.gupy.io/job/eyJqb2JJZCI6NzA0MjgxNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,on-site,True
6992419,2024-04-18T12:05:19.460Z,Analista de SEO Jr. - House Cricket,"Somos a HouseCricket, especialistas em marketing digital e direct. Nosso objetivo é conectar clientes a marcas por meio de estratégias completas em todas as plataformas digitais. Venha fazer parte do nosso time!Responsabilidades e atribuiçõesAuxílio na elaboração do planejamento de SEO, apresentando temas, palavras e oportunidades de conteúdos para os clientes/marcas bem como analisar ações da concorrência.Analisar, otimizar e/ou acompanhar as ações de SEO internamente junto com os times de criação (redatores), canais e conteúdos, Social e Desenvolvimento Web.Extrair dados/informações das ferramentas de SEO e realizar sua análise.Elaborar os relatórios de análise dos resultados periódicos e apresentar para o cliente.Participar das reuniões de pauta e controlar o fluxo das atividades, organizando a pauta da equipe.Pesquisar e manter-se atualizado em relação as novidades de SEO, assim como mudanças no algoritmo do Google.Requisitos e qualificaçõesEnsino Superior completo nas áreas de Comunicação Social, Marketing, Sistemas de Informação, Tecnologia ou afins.Experiência na área de comunicação e marketing digital.Plataformas de Mídia (Google Ads).Plataformas de Análises e Benchmark:Google Search ConsoleSEMRushSimilarWEbGoogle Analytics",HouseCricket ,vacancy_type_effective,,False,Pinhais,Paraná,Brasil,https://housecricket.gupy.io/job/eyJqb2JJZCI6Njk5MjQxOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,hybrid,True
7043798,2024-04-18T12:02:24.376Z,PESSOA ANALISTA DE CONTAS A PAGAR TEMPORÁRIA - CAMPINAS ,"Reconhecemos que o nosso pessoal é o nosso diferencial e os diversos talentos que trazemos para nossa força de trabalho global estão diretamente relacionados ao nosso sucesso! Diversidade é um tema de muita relevância para o nosso negócio e a sociedade como um todo, valorizamos e respeitamos as diferenças, pois entendemos que ela estimula a inovação, permitindo soluções e uma comunicação assertiva para os mais diversos públicos. Aqui todes são bem-vindes, queremos ser uma empresa cada vez mais plural e diversa! O nosso objetivo é formar o melhor time de encantadores de pessoas sem distinção de nacionalidade, cor, gênero, religião, deficiência e outros. Por isso, aqui você vai encontrar pessoas de diferentes lugares, histórias, mas que acreditam na importância da união e no poder do apoio e do acolhimento.Responsabilidades e atribuiçõesGerenciar/ criar e aplicar controles de pagamentos via cartão;Interface com outras áreas sobre pagamentos e utilização dos cartões;Atendimentos relacionado a operação;Gestão de cartões pré e pós pago Alelo e Vexpenses;Controle de saldos a pagar para voluntários;Conciliação das contas e lançamentos das despesas no sistema;Previsão semanal/ mensal de compra de saldo;Elaborar relatórios gerenciais.Requisitos e qualificaçõesPara atuar como Analista Financeiro na ALS, esperamos que você tenha os seguintes requisitos básicos:Superior completo em Administração, Economia, Ciências Contábeis e áreas correlatas;Excel intermediário;Boa comunicação;Desejável inglês intermediário;Desejável conhecimento sistema ERP Protheus (TOTVS)Informações adicionaisHORÁRIO: SEGUNDA A SEXTA FEIRA - 7h30 - 17h15VAGA TEMPORÁRIA - MAIO ATÉ NOVEMBRO (Chances de prorrogação) LOCAL: CAMPINAS-SP O QUE TE OFERECEMOS:🍽 Vale Refeição / Alimentação;🔃 Vale transporte (Passe);🚑 Assistência Médica;🦷 Assistência Odontológica;🏋️ TotalPass;💊 Parcerias com Farmácias;📚 Parcerias com faculdades e escolas de idiomas;🥳 Day off aniversário.",ALS LIFE SCIENCES,vacancy_type_temporary,,False,Campinas,São Paulo,Brasil,https://alslifesciences.gupy.io/job/eyJqb2JJZCI6NzA0Mzc5OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,False,hybrid,True
