job_id,published_date,title,description,career_page_name,type,application_deadline,is_remote_work,city,state,country,job_url,disabilities,workplace_type,submitted
7344457,2024-06-20T19:00:00.698Z,ANALISTA DE NEGÓCIOS | MODELO HIBRIDO | SÃO PAULO (ZONA NORTE),"Na Fast Shop nós acreditamos na diversidade como alavanca de performance e trabalhamos para a inclusão de todas as pessoas. Todas as nossas vagas são abertas para profissionais de todos os gêneros, orientações sexuais e identidades de gênero, idade, crenças, raças e etnias, condições físicas e neuro diversidade.Responsabilidades e atribuiçõesResponsabilidadesSuporte as atividades administrativas e controles de áreaAtribuiçõesSuporte comercial e Garantir a execução dos processos da área - Acompanhamentos/ Controles, através de organização, planilha de excel (alimentar informações, tabelas dinâmicas, procv); Feedback das atividades.Contatos com as áreas parceiras (Cadastro, Pricing, Fiscal, Logística, Financeiro, Controladoria)Envio atividades para as áreas de suporte, garantindo o cumprimento dos prazos fazendo acompanhamento/cobrança dos retornos.Garantir o cumprimento dos prazos de retorno de chamados, auxiliar nos casos críticos (Apoio a equipe do SAC)Contato com Fornecedores e lojas, apoiando na orientação quanto aos processos internos, suporte em caso de dúvidas, cobrança de pendências. Requisitos e qualificaçõesFormaçãoAdministração, Gestão Comercial, Marketing e áreas correlatasQualificaçõesExcel IntermediárioPower PointInformações adicionaisJornada de trabalho: Segunda à Sexta das 08h30 às 18h48 (Híbrido)﻿BenefíciosAssistência Médica / Medicina em grupoAssistência OdontológicaConvênio com farmáciaSeguro de vida em grupoVale refeiçãoGympassCredito consignado",Fast Shop S/A,vacancy_type_effective,,False,São Paulo,São Paulo,Brasil,https://fastshop.gupy.io/job/eyJqb2JJZCI6NzM0NDQ1Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,False,hybrid,True
7232678,2024-06-20T18:57:40.434Z,ANALISTA COMPLIANCE PL,"Somos a maior multinacional brasileira e estamos entre as 100 maiores empresas de TI do mundo.Estamos presentes em 41 países com +30k colaboradores. A Stefanini tem como principal objetivo auxiliar os clientes a encontrar, por meio de soluções personalizadas, a maneira ideal para alcançar seus desafios, impulsionando a inovação digital.E queremos mais!Requisitos e qualificaçõesEnsino superior completo; experiencia com atendimento ao publico e area administrativa; bom relacionamento interpessoal; experiencia na funcao sera um diferencial. Atividades: Responsavel pela auditoria de conformidade de aproximadamente 50 mil processos judiciais; analise documental conforme matriz de comprovacao de dano; classificacao dos processos conforme elegibilidade; gestao de processos operacionais internos ligados a triagem de elegibilidade; analise critica do sistema (SGS), utilizado na realizacao da triagem de elegibilidade dos acordos realizados, sugerindo melhorias, outros.Ensino Superior CompletoTempo de ExperiAancia: 2 anos e 0 meses.Informações adicionaisO que te oferecemos:🍛 Vale Alimentação ou Vale Refeição;👨🏼‍🎓 Desconto em cursos, universidades e instituições de idiomas; 📚 Academia Stefanini - plataforma com cursos online, gratuitos, atualizados e com certificado; 🗣 Mentoring;🏫 Auxílio Creche; 💉 Clube de vantagens para consultas e exames;🏥 Assistência Médica;🦷Assistência Odontológica; 💰 Clube de vantagens e descontos nos melhores estabelecimentos;👂🏾 Atendimento psicológico online ao colaborador e seus dependentes;🛫 Clube de viagens;🐶 Convênio para Pet;e muito mais...",Stefanini Group,vacancy_type_effective,,True,,,Brasil,https://stefanini.gupy.io/job/eyJqb2JJZCI6NzIzMjY3OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,remote,True
7344558,2024-06-20T18:57:10.482Z,Âmbar Energia -  Analista de Gestão de Energia ,"A Âmbar Energia desenvolve, implanta e explora projetos nos segmentos de Geração Térmica, Transmissão e Comercialização de Energia para contribuir com os novos desafios de expansão e diversificação da matriz energética brasileira. Estamos em expansão e buscamos um Analista de Gestão de Energia para atuar realizando as atividades de atendimento a cliente, emissão de relatórios, balanço energético, migrações e rotinas internas.﻿#LI-OnsiteResponsabilidades e atribuiçõesGestão de clientes de energia elétrica no ACL;Emissão e acompanhamento de relatórios de economia;Acompanhar obrigações do mercado livre: garantias financeiras, penalidades, contabilizações, liquidações financeiras, contribuições associativas, entre outros;Acompanhar processo de faturamento e recebimento de notas fiscais de energia dos consumidores representados; Registro e acompanhamento das operações de compra e venda de energia.Requisitos e qualificaçõesSuperior Completo em Engenharia, Administração, Economia ou áreas correlatas;Conhecimentos nas faturas de energia elétrica;	Conhecimento nos sistemas da CCEE;Conhecimento das regras, procedimentos e legislações de energia elétrica;Conhecimentos sobre Pacote Office (Word, Excel, Power Point);	VBA, SQL e BI será considerado diferencial.	Informações adicionaisHorário de trabalho das 08:00 às 18:00 com 01:12 de almoço (restaurante no local);Estacionamento gratuito no local;Fretado no trajeto: Estação Domingos de Morais x JBS / JBS X Estação Domingos de Morais;Vale-transporte e Vale-Alimentação;Assistência Médica/Odontológica e Seguro de vida por modelo de parcerias;PLR.",Âmbar Energia,vacancy_type_effective,,False,São Paulo,São Paulo,Brasil,https://ambarenergia.gupy.io/job/eyJqb2JJZCI6NzM0NDU1OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,False,on-site,True
7270067,2024-06-20T18:55:07.365Z,Analista de Produtos I,"A Agis valoriza e promove uma cultura diversa e inclusiva.Consideramos pessoas com deficiência em todos as nossas oportunidades!Se você também é apaixonado pelo que faz, venha conhecer o desafio que a Agis está te oferecendo!Fundada em 1992, a AGIS é uma das principais distribuidoras de TI do país.Com mais de 280 colaboradores e quase 6 mil clientes ativos por trimestre, a AGIS atende mais de 10 mil canais ao longo do ano.A AGIS tem como pontos fortes o vasto portfólio com mais de 60 parceiros, um relacionamento estreito com seus clientes, além do compromisso de atuar sempre via canais.Responsabilidades e atribuiçõesManter-se atualizado sobre as linhas de produtos, técnica e comercialmente, para o desenvolvimento das mesmas.Realizar pesquisas de mercado, levantar dados sobre a concorrência, shopping de preços, visando a estratégia de crescimento.        Analisar inventário, backlog e faturamento frente ao mercado, histórico e metas da empresa.Desenvolver relacionamento com as revendas, buscando melhores resultados e rentabilidade no segmento com a finalidade de aumentar o share junto ao fabricante e dentro da empresa.Requisitos e qualificaçõesSuperior cursando ou completo.Excel intermediário/avançado.Informações adicionaisAssistência Médica;Day off no aniversário;Gympass;Estacionamento;Período amamentação estendido: 1 hora por dia até filho completar 8 meses;Seguro de Vida;Vale Refeição/Alimentação;Vale Transporte;PLR (Participação nos Lucros e Resultados): De acordo com o atingimento dos resultados definidos. Tipo de contratação: CLT.",Agis Distribuição,vacancy_type_effective,,False,Campinas,São Paulo,Brasil,https://vagasagis.gupy.io/job/eyJqb2JJZCI6NzI3MDA2Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,on-site,True
7344397,2024-06-20T18:54:42.575Z,Analista de Suporte JR,"Somos a maior multinacional brasileira e estamos entre as 100 maiores empresas de TI do mundo.Estamos presentes em 41 países com +30k colaboradores. A Stefanini tem como principal objetivo auxiliar os clientes a encontrar, por meio de soluções personalizadas, a maneira ideal para alcançar seus desafios, impulsionando a inovação digital.E queremos mais!Responsabilidades e atribuiçõesO que esperamos que você realize:Atender aos clientes presencialmente para solucionar problemas técnicos;Realizar a instalação e configuração de pontos de venda (PDV) e impressoras térmicas não fiscais;Efetuar clonagem de imagens utilizando ferramentas como Active Boot e Clonezilla;Realizar a configuração e manutenção de sistemas operacionais (Windows 7, 10 e 11);Configurar e solucionar problemas de redes (Ethernet / TCP/IP), incluindo cabeamento estruturado, crimpagem de cabos, e configuração de equipamentos de rede WiFi (Access Point) e fibra óptica;Montar e organizar racks de TI;Trabalhar com CFTV, incluindo a instalação, configuração e resolução de problemas em DVR, câmeras e infraestrutura;Prestar suporte técnico básico em microinformática e redes;Garantir a conformidade com padrões e procedimentos técnicos da empresa;Manter-se atualizado sobre novas tecnologias e ferramentas relevantes para a função.Requisitos e qualificaçõesO que precisamos que você tenha de conhecimento:Requisitos essenciais:Residir na cidade de Lages(SC);Disponibilidade imediata;Disponibilidade para viagens a cidades adjacentes em um raio de até 200 km;CNH (mínimo categoria B) dentro da validade;Conhecimentos básicos em microinformática e redes, com experiência em campo;Conhecimento preferencial com instalação e configuração de PDV e impressoras térmicas não fiscais;Conhecimento em clonagem de imagens (Active Boot, Clonezilla);Conhecimentos básicos em Linux;Conhecimento em montagem estruturada de rack de TI;Conhecimentos básicos em eletrônica;Conhecimento com CFTV (instalação, configuração e resolução de problemas em DVR, câmeras e infraestrutura).Informações adicionaisO que te oferecemos:🍛 Vale Alimentação ou Vale Refeição;👨🏼‍🎓 Desconto em cursos, universidades e instituições de idiomas; 📚 Academia Stefanini - plataforma com cursos online, gratuitos, atualizados e com certificado; 🗣 Mentoring;🏫 Auxílio Creche; 💉 Clube de vantagens para consultas e exames;🏥 Assistência Médica;🦷Assistência Odontológica; 💰 Clube de vantagens e descontos nos melhores estabelecimentos;👂🏾 Atendimento psicológico online ao colaborador e seus dependentes;🛫 Clube de viagens;🐶 Convênio para Pet;e muito mais...",Stefanini Group,vacancy_type_effective,,False,Lages,Santa Catarina,Brasil,https://stefanini.gupy.io/job/eyJqb2JJZCI6NzM0NDM5Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,on-site,True
7287244,2024-06-20T18:54:33.725Z,Analista de Atendimento de Benefícios Junior - Jarinu ,"Se você é uma pessoa proativa, organizada e adora trabalhar com análise e otimização de processos administrativos, temos uma oportunidade para você!Se você se identifica com a vaga e quer fazer parte de uma equipe motivada e em constante evolução, se aplique agora mesmo!Responsabilidades e atribuiçõesOs desafios que você vai ter:Prestar esclarecimentos sobre dúvidas de coberturas, limites e prazos;Intermediar liberações de atendimento médico-hospitalar, observando respectivas exigências das operadoras, tais como DUT (diretrizes de utilização), pedido de envio de laudos médicos ou de exames complementares;Acompanhar os casos de liberação de senha para procedimentos, exames e cirurgiasEsclarecer dúvidas de coparticipaçãoAtuar em casos de remoção (transferência de paciente) interagindo com área médica Itsseg / Operadora / Cliente;Indicar prestador de serviço médico-hospitalar observando rede do plano do beneficiário e procedimento a ser realizado;Orientar nos processos de reembolso, prazos e acompanhamentoOrientar e direcionar a seguradora, demandas de prévia de reembolso e prazos de ressarcimento;Direcionar a equipe operacional interna, solicitações de 2ª via de fatura e cartões;Acionar portador Itsseg (eventual) para retirar/entregar documentos;Enviar checklist de documentos exigidos pela seguradora para proceder reembolso de atendimento médico-hospitalar ou ressarcimento do montante segurado no benefício vida em grupo;Notificar cliente e/ou acompanhar retorno de pendências de documentos identificadas ou solicitadas pelas operadoras nos processos de reembolso, movimentação e ressarcimento do seguro de vida;Orientar como proceder em caso de assistência funeral e viagem;Retornar demandas recebidas via e-mail em no máximo 24h úteis do recebimento;Registrar todos os atendimentos realizados, no módulo operacional Itsseg;Comunicar imediatamente a coordenação, acerca de qualquer incidência ou informação relevante observada no atendimento;Requisitos e qualificaçõesSeria importante você apresentar:Conhecimento do pacote office (word, excel intermediário);Imprescindível conhecer rotinas operacionais de benefícios;Superior cursando em áreas correlatas.Informações adicionaisBenefíciosAssistência Médica;Assistência Odontológica;Vale-Refeição ou Vale-Alimentação;Vale-Transporte;Seguro de Vida;Participação nos Lucros e Resultados; Além Desses Benefícios, OferecemosÓtimo clima de trabalho, ambiente leve, acolhedor e dinâmico;Day-off no dia do seu aniversário;Cartão farmácia;Clube de Vantagens (parcerias diversas com descontos exclusivos);Parceria com Sesc;Desconto em nossos produtos (seguros);Desconto em ingressos de cinema;Total Pass (Convênio Academia);Auster - Fortalecimento do equilíbrio emocional;Horário de trabalho: 08hs as 17hs - Segunda à sexta; (Presencial)Local de trabalho: Jarinu - SP.", IT'SSEG COMPANY,vacancy_type_effective,2024-07-05T00:00:00.000Z,False,Jarinu,São Paulo,Brasil,https://itsseg-company.gupy.io/job/eyJqb2JJZCI6NzI4NzI0NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,on-site,True
7344556,2024-06-20T18:53:13.305Z,Analista financiero Senior  - Reportes Regulatorios,"¡¡Sé parte de Stefanini!En Stefanini somos más de 30.000 genios, conectados desde 41 países, haciendo lo que les apasiona y co-creando un futuro mejor. ¡Seguro no te quieres quedar fuera! Buscamos el mejor talento para la posición de Analista Financiero SeniorResponsabilidades y atribucionesAnalista Financiero-profesional de áreas financieras con experiencia mínima de 2 años en el cargo o similares. Debe tener sólidas bases contables y financieras. Con experiencia en generación de reportes regulatorios a entidades de gubernamentales.Plus tener experiencia en banca.Requisitos y calificacionesProactividad en el ejercicio de sus funciones.Autogestión.Capacidad organizativa, interés en medir el desempeño de los procesos. Capacidad analítica, iniciativa y capacidad de resolución de problemas. Escucha activa y comunicación asertiva.Buenas relaciones interpersonales, trabajo en equipo.Informaciones adicionales",STEFANINI LATAM,vacancy_type_temporary,,False,Bogota,,Colômbia,https://stefaninilatam.gupy.io/job/eyJqb2JJZCI6NzM0NDU1Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,hybrid,True
7270606,2024-06-20T18:52:21.432Z,Vaga Confidencial | Pessoa Analista Projetos Processos III (PO),"Quer fazer parte de uma empresa que cresce exponencialmente, revoluciona o mercado com suas inovações e se preocupa com as pessoas?Então chegou a sua hora e o desafio é daqueles que dá frio na barriga! Vamos revolucionar ainda mais um segmento que passa por inúmeras transformações e melhorar a vida de milhões de brasileiros e suas famílias.Esse é o momento de fazer acontecer. Venha fazer parte do nosso time!Procuramos uma pessoa Analista III (Sr) para nosso time de Desenvolvimento.Responsabilidades e atribuiçõesA principal missão é evoluir uma plataforma B2B, estabilizando e melhorando a experiência do usuário de forma a aumentar a entrega de valor e fidelizar os nossos clientes;Mapear oportunidades através do entendimento do mercado, indicadores internos e externos e pesquisas com usuários;Interagir com time multidisciplinar e priorizar iniciativas e ações conforme objetivos e performance do produto/negócio;Construir roadmaps e apresentar visão de curto, médio e longo prazo, com entrega de releases e MVPs;Construir cenários para definição do modelo de negócios;Especificar regras de negócio, construir fluxos dos processos funcionais, features ou soluções definidas para o desenvolvimento com a participação nas cerimônias do Scrum/Kanban;Trabalhar com o time para idealizar, desenvolver, lançar e medir resultados do produto.Realizar a escuta ativa junto ao cliente RH (Empregador) através dos principais canais de relacionamento, de forma a estar sempre atento as necessidades, dores e oportunidades desse cliente. Requisitos e qualificaçõesO que você precisa ter!Experiência anterior em empresas de fidelidade, serviços financeiros, fintechs, meios de pagamento ou plataformas digitais;Experiência como Product Owner;Vivência em squads e times de produto;Experiência com gestão de entregas de produtos digitais;Domínio dos Métodos ágeis como Kanban e Scrum;Experiência em escrita de histórias;Experiência em definições de métricas (OKRs, KPIs, etc);Vivência em transformação digital dos negócios;Informações adicionaisO que oferecemos:Plano de saúde Unimed com coparticipação (rede nacional);Plano odontológico Amil Dental Seguro de vida 100% pago pela empresa;Vale Refeição sem desconto nas férias e feriados;Auxílio Home Office;Day Off (1 dia de folga no mês do aniversário);Vale Refeição presente mês aniversário;Day Off (01 dia de folga mês das mães / pais);VR Nutrição;VR Farma;TotalPass;Programa Movimente-se (Qualidade de Vida, Bem-Estar e Saúde);PLR de acordo com o Sindicato;Convênio farmácia ECX Card;Empréstimo Consignado parceria EmCash após 06 meses de admissão;Parceria SESC;Assistência às mães por filho nos primeiros 24 meses.",Vagas Confidenciais,vacancy_type_effective,,True,Nova Lima,Minas Gerais,Brasil,https://processosconfidenciais.gupy.io/job/eyJqb2JJZCI6NzI3MDYwNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,remote,True
7344544,2024-06-20T18:51:07.189Z,Analista de Departamento Pessoal ,"Uma empresa mineira de engenharia e soluções integradas, presente nos mercados nacional e internacional, com uma trajetória marcada pela competência de seus talentos humanos e pelo forte investimento em tecnologias de ponta, permitindo estar entre as pioneiras no desenvolvimento e implantação de soluções inteligentes.A TSA é uma empresa que gera e compartilha conhecimento, apostando na construção de uma sociedade mais ética e responsável.Com sede em Belo Horizonte/MG, a empresa conta com uma equipe de profissionais altamente qualificados para atender às demandas de mercado.Se identificou? Faça seu cadastro e venha fazer parte do nosso time!Responsabilidades e atribuiçõesComo Analista de Departamento Pessoal você vai:Analisar e conferir as atividades de movimentação e registro de pessoal, admissão, folhas de pagamentos e rescisão, controle de benefícios, apuração e recolhimento de encargos sociais e tributos, controle de Férias, Conciliação Contábil da Folha de Pagamento, E-social, ponto eletrônico.Analisar e postar documentações trabalhistas, previdenciárias e tributárias no sistemas de gestão de clientes (VALE, Gerdau, Usiminas, AMT).Profissional que apresenta conhecimentos enriquecidos pela prática consolidados, permitindo a realização de trabalhos complexos orientados para resultados desejados em níveis elevados de qualidade e produtividade.Atua com desenvoltura e autonomia nos projetos de sua especialidade, requerendo supervisão esporádica.Requisitos e qualificaçõesFormação necessária:Ensino superior completo em Administraçao, Gestao de Recursos Humanos ou áreas afins.Conhecimentos desejáveis:Será um diferencial Conhecimentos da legislaçao trabalhista, fiscal e previdenciária;Conhecimentos das normas, rotinas e procedimentos inerentes a área de administraçao de pessoal;Conhecimentos das rotinas trabalhistas e sistemas de folha de pagamento;Conhecimentos de administraçao do plano de cargos e salários;Conhecimento dos módulos do Sistema Microsiga;Domínio do pacote Office.Informações adicionaisAqui você encontra:Vale refeição/alimentação;Plano de saúde coparticipativo;Plano odontológico;Vale transporte ou transporte fornecido pela empresa;Seguro de vida;Wellhub (antigo Gympass);Desconto para utilização do Clube SESC;Assistência psicológica fornecida através de parceiros (Zenklub e outros);Convênio com instituições de ensino com descontos para colaboradores e dependentes;Descontos em lojas e serviços parceiros.",TSA Tecnologia de Sistemas de Automação SA,vacancy_type_effective,,False,Belo Horizonte,Minas Gerais,Brasil,https://tsaengenharia.gupy.io/job/eyJqb2JJZCI6NzM0NDU0NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,on-site,True
7344268,2024-06-20T18:48:04.815Z,Analista Desenvolvedor Visual Basic,"# Quem somos? 📲A 3CON é enabler de inovação e transformação digital, construindo soluções de impacto para os negócios, que combinam estratégia, design, engenharia de software e performance. Oferecemos um ecossistema de soluções, serviços e parcerias de impacto para os negócios. Aqui na 3CON você terá oportunidade de atuar com empresas de grande porte por todo o Brasil, aliando as mais modernas tecnologias aos negócios, gerando resultados expressivos para nossos clientes.# O que estamos buscando? 💻Estamos em busca de um(a) Analista Desenvolvedor VB para atuar junto a uma das maiores indústrias do mundo! 😉Responsabilidades e atribuiçõesRequisitos e qualificaçõesForte experiência como Analista de Sistemas/Desenvolvedor em Visual BasicConhecimento de levantamento de requisitos, escrita de história, lógica de programaçãoOracle, comandos SQL e proceduresInglês fluente Informações adicionais# O que oferecemos? 😍Convênio Médico + Convênio Odontológico + Vale Refeição + Seguro de Vida + Auxílio Creche + Treinamentos + Incentivo à Certificação + Parceria com Universidades + Parceria com Escolas de Línguas + No dress code + Ambiente de Trabalho Digital + Possibilidade de Home Office + Ambiente descontraído + Utilização de Tecnologia de Ponta e muito mais!Tem esse conhecimento? Gostou da vaga? 😊Faça parte desse time❗️Por aqui a criatividade e a inovação têm cadeira cativa em nosso dia a dia. A ideia principal é pensar além, antecipar tendências e focar na experiência do usuário.",3CON | IT & Digital,vacancy_type_effective,,False,Piracicaba,São Paulo,Brasil,https://trescon.gupy.io/job/eyJqb2JJZCI6NzM0NDI2OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,hybrid,True
